epoch,train_loss,train_acc,val_loss,val_acc
1,1.3687547445297241,0.3235294117647059,1.3746658897399902,0.24
2,1.2121849597669114,0.6274509803921569,1.2353468990325929,0.68
3,1.130695015776391,0.7549019607843137,1.1699222612380982,0.64
4,1.0104724122028725,0.8137254901960784,1.1031357669830322,0.8
5,0.9788933408026602,0.7549019607843137,1.037608003616333,0.84
6,0.8629427224982018,0.8137254901960784,0.9607560825347901,0.8
7,0.7708589247628754,0.8529411764705882,0.8992132592201233,0.84
8,0.7558786261315439,0.9019607843137255,0.8741510057449341,0.84
9,0.7199394328921449,0.8921568627450981,0.8197549152374267,0.88
10,0.6315085806098639,0.9117647058823529,0.8077730131149292,0.88
11,0.6311839737144171,0.9313725490196079,0.8155357813835145,0.84
12,0.5555129355075312,0.9607843137254902,0.777650978565216,0.88
13,0.52947990917692,0.9509803921568627,0.702656466960907,0.96
14,0.5583823755675671,0.8823529411764706,0.6764972329139709,1.0
15,0.48640721101386875,0.9411764705882353,0.6441265535354614,0.96
